time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),HR ,SpO2 ,CO2 - ET ,CO2 - MIN ,TV - TV - 61664 ,TV - TV - 61665 ,MINVOL - MINVOL - 20812 ,MINVOL - MINVOL - 20816 ,O2 - INSP ,O2 - ET ,end challenge
1014.4,323,0,0.947798604,1.323363216,-0.211159511,2.27116182,0.947798604,1.323363216,-0.211159511,2.27116182,1.810306278,1.515335448,0.043459751,3.325641726,1.810306278,1.515335448,0.043459751,3.325641726,3.685904233,1.314160569,0.027055463,5.000064802,5.638324459,1.049726739,0.038004613,6.688051198,65.97718266,30.79616585,96.77334851,0.681667707,-0.375564613,-0.375564613,0.29497083,0.29497083,2.371743664,4.588597719,8.168181058,7.928524995,8.483503066,8.604464128,11.03368911,10.95474645,9.577957427,9.0216062,0.124033997,0.130626181,0.099881792,0.091393299,9.738558083,24.76774945,34.50630753,28.28204671,29.34846206,21.56590142,50.91436348,1014.4,68.42136339,88.31135926,98.77250005,5.07131079,0.108057317,20.13681751,14.41309359,4.759189175,0.06690881,83.20966177,80.17390068,98.40279805,4.826676698,0.014869635,1806.458899,1850.634591,13.32521554,12.67921921,19.99664037,14.03220229,
1017.6,324,0,0.744103338,1.320921935,-0.139273368,2.065025273,0.744103338,1.320921935,-0.139273368,2.065025273,1.575413686,1.564757451,0.065018075,3.140171137,1.575413686,1.564757451,0.065018075,3.140171137,3.324318444,1.330115303,0.064203931,4.654433747,5.2496401,0.97488506,0.090420411,6.22452516,66.33822562,31.6629505,98.00117613,0.676937493,-0.576818597,-0.576818597,0.010656236,0.010656236,1.994203141,4.27475504,7.979332832,8.063409692,8.218026403,8.796194394,10.7832446,11.20699184,9.315373281,9.182711717,0.127143724,0.12929437,0.103596203,0.088972751,9.03080802,25.34766552,34.37847354,26.36089643,28.64071199,22.14581749,50.78652948,1017.6,63.82700759,83.18015249,98.97752382,5.04249542,0.147145056,20.0467528,14.53951043,4.742229111,0.078786098,81.34173842,82.41598777,98.52947519,4.77261219,0.081024226,1977.07133,1939.710168,13.33998315,12.7501719,19.97727973,14.03328275,
1020.8,325,0,0.781810914,1.446944107,-0.155202268,2.22875502,0.781810914,1.446944107,-0.155202268,2.22875502,1.5833313,1.639359936,0.04034359,3.222691236,1.5833313,1.639359936,0.04034359,3.222691236,3.230612338,1.396338928,0.049006045,4.626951266,5.033188161,1.109361342,0.110860905,6.142549503,67.50988985,31.56358651,99.07347636,0.681415772,-0.665133193,-0.665133193,-0.056028636,-0.056028636,1.83427341,3.923826819,7.826586886,8.375296325,7.994332044,8.879536401,10.5718106,11.68721105,9.079966402,9.271513613,0.129561108,0.125069595,0.106522493,0.088134759,8.847721205,25.45044985,34.29817106,25.89902039,28.45762518,22.24860183,50.70622701,1020.8,62.34739551,79.44252179,99.17086894,5.02838364,0.180190674,19.9867949,14.62751893,4.732639342,0.081020191,81.17183555,83.51531053,98.63039517,4.753430036,0.116661606,2282.659073,2093.247445,13.10038427,12.72801197,20.00228731,13.96702393,
1024,326,0,0.995112461,1.56667911,-0.206211786,2.561791571,0.995112461,1.56667911,-0.206211786,2.561791571,1.827091497,1.729885969,-0.025177141,3.556977466,1.827091497,1.729885969,-0.025177141,3.556977466,3.456356457,1.46887459,-0.013618651,4.925231047,5.133509188,1.316256566,0.099047311,6.449765755,68.54556535,30.93022743,99.47579278,0.688968729,-0.571566649,-0.571566649,0.097205527,0.097205527,1.987481867,3.817252622,7.824130056,8.600836702,8.070179471,8.673993876,10.58748728,11.98976073,9.141604294,9.108785027,0.12978368,0.121528919,0.105255443,0.090907187,9.494136265,25.00049836,34.49463463,27.60210621,29.10404024,21.79865034,50.90269057,1024,64.35023025,81.11128634,99.22477626,5.025075855,0.204434026,19.86700026,14.64135974,4.731776528,0.100721085,82.25456779,81.85281267,98.56825918,4.708954837,0.094693903,2414.448644,2181.09847,13.08889463,12.82786143,20.04355285,13.93432832,
1027.2,327,0,1.195507077,1.565616476,-0.196699041,2.761123553,1.195507077,1.565616476,-0.196699041,2.761123553,2.091237564,1.747726464,-0.039636367,3.838964029,2.091237564,1.747726464,-0.039636367,3.838964029,3.821968511,1.497051239,-0.068110458,5.319019749,5.453046534,1.447105037,0.089708351,6.900151571,68.65936607,30.73615197,99.39551804,0.690513201,-0.370109399,-0.370109399,0.3435111,0.3435111,2.324917272,4.005941497,7.934047984,8.57706232,8.291667444,8.380332596,10.79489816,11.95484562,9.389379868,8.859410239,0.128623615,0.121869754,0.102449824,0.094675657,10.40332447,24.57544238,34.97876684,29.82319749,30.01322844,21.37359435,51.38682279,1027.2,65.536667,85.21120398,99.17490218,5.021730809,0.244105391,19.65116404,14.62238787,4.734323676,0.161101994,80.25162331,79.74578431,98.27731245,4.580527829,0.077544519,2315.236502,2246.565983,13.44692968,13.18345734,20.00314722,14.03978174,
1030.4,328,0,1.06911807,1.283244503,-0.128425651,2.352362573,1.06911807,1.283244503,-0.128425651,2.352362573,1.906429049,1.473964112,0.033830714,3.380393161,1.906429049,1.473964112,0.033830714,3.380393161,3.716723261,1.258513014,-0.061022817,4.975236275,5.283277243,1.235229352,0.115990884,6.518506595,68.45408567,30.55995402,99.01403969,0.691142815,-0.214126434,-0.214126434,0.432464937,0.432464937,2.458210246,4.048047891,7.995605423,8.420321993,8.350845137,8.326478126,10.90074478,11.76564392,9.515807348,8.784400408,0.127839522,0.124569862,0.102392788,0.095078577,10.61250335,24.63744663,35.24994998,30.17839906,30.22240732,21.4355986,51.65800593,1030.4,64.8400252,87.08521392,99.17167945,5.021738515,0.31036456,19.4432543,14.59908176,4.7370799,0.243558426,76.45817948,79.20260385,98.04718846,4.506827832,0.117456554,2171.925237,2347.999223,13.90838932,13.66936616,19.9164498,14.13120895,
1033.6,329,0,0.605202099,0.825893478,-0.108472812,1.431095577,0.605202099,0.825893478,-0.108472812,1.431095577,1.239650932,0.945041381,0.11507095,2.184692313,1.239650932,0.945041381,0.11507095,2.184692313,2.999807681,0.78996522,-0.024973606,3.789772901,4.419852397,0.671282516,0.168850629,5.091134913,68.49363608,29.50743854,98.00107462,0.698728158,-0.220691378,-0.220691378,0.294609551,0.294609551,2.209842462,3.748569881,7.965324487,8.336139267,8.217074639,8.522604138,10.7763053,11.62833974,9.427071224,8.877907303,0.127367656,0.125648356,0.104775486,0.091806912,10.03042076,24.86972391,34.90014467,28.76430587,29.64032473,21.66787589,51.30820062,1033.6,65.33192157,86.61727874,99.23561676,5.039996267,0.376413278,19.35797932,14.54373952,4.742419128,0.307310548,77.0410142,78.79099427,98.16704551,4.730667874,0.167361624,2100.328629,2418.519691,14.14583234,13.96047422,19.98180464,13.95096275,
1036.8,330,0,0.3629161,0.67841938,-0.181160124,1.04133548,0.3629161,0.67841938,-0.181160124,1.04133548,0.916139976,0.630268939,0.124751057,1.546408915,0.916139976,0.630268939,0.124751057,1.546408915,2.664574426,0.606605029,-0.03860678,3.271179455,4.088562116,0.339920962,0.174492857,4.428483077,67.85684066,28.52848259,96.38532325,0.703343555,-0.31550328,-0.31550328,0.285871037,0.285871037,2.057969397,3.748641154,7.95563849,8.375590297,8.114289068,8.674546135,10.64731364,11.59030974,9.315033519,8.938092755,0.126249769,0.124038309,0.106093094,0.089073307,9.588308281,24.7352995,34.32360778,27.99574564,29.19821225,21.53345148,50.73166373,1036.8,67.76083921,85.58403686,99.17660549,5.083709954,0.412020177,19.35391249,14.451195,4.752320479,0.355396076,81.64502736,77.04188199,98.41537599,5.08485761,0.184825766,2047.160925,2371.268338,14.10141161,13.90057151,20.1723124,13.7178674,
1040,331,0,0.806437194,1.119722739,-0.251231729,1.926159933,0.806437194,1.119722739,-0.251231729,1.926159933,1.615977118,0.897761305,0.079821433,2.513738423,1.615977118,0.897761305,0.079821433,2.513738423,3.577862847,0.998527201,-0.092237181,4.576390047,5.382894238,0.751406612,0.080010039,6.13430085,65.75479682,29.54089968,95.2956965,0.689139024,-0.313285544,-0.313285544,0.718215813,0.718215813,2.579335646,4.631487626,8.015000334,8.442507094,8.164503177,8.570366469,10.71559465,11.61865649,9.353491433,8.852828166,0.1252035,0.122270991,0.105223232,0.090353449,10.03733957,24.31951394,34.35685351,29.30948475,29.64724354,21.11766592,50.76490946,1040,69.39184429,83.92269945,98.89432542,5.146119505,0.419416772,19.28043736,14.38720028,4.764188341,0.446071043,83.76895899,75.9103234,98.3348019,4.896041887,0.273356647,2017.418077,2228.654497,13.95420525,13.71148729,20.03209996,14.05613217,
1043.2,332,0,1.564943649,1.759083551,-0.228367402,3.3240272,1.564943649,1.759083551,-0.228367402,3.3240272,2.76590362,1.490059817,0.040224965,4.255963436,2.76590362,1.490059817,0.040224965,4.255963436,5.019624853,1.504027803,-0.095568302,6.523652656,7.340616716,1.48676084,-0.030744808,8.827377556,63.49730928,32.33773015,95.83503943,0.6622203,-0.194139902,-0.194139902,1.275843803,1.275843803,3.515597051,5.853855876,8.075283405,8.442111265,8.252058206,8.300138815,10.89196286,11.65294698,9.468790062,8.679772678,0.125301114,0.122595134,0.10428061,0.094464885,11.13653596,24.06292621,35.19946217,31.71449744,30.74643993,20.86107819,51.60751812,1043.2,68.76429696,82.08655543,98.6376029,5.221453521,0.418348652,19.08064062,14.40998061,4.774555556,0.613162165,82.63551843,77.7147709,97.98522239,3.911401029,0.552939711,2131.531143,2070.632278,13.84370792,13.701835,19.26814241,14.9557382,
