time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),HR ,SpO2 ,CO2 - ET ,TV - TV - 61664 ,TV - TV - 61665 ,MINVOL - MINVOL - 20812 ,MINVOL - MINVOL - 20816 ,O2 - INSP ,O2 - ET ,end challenge
44.8,17,0,1.294889892,-0.722884799,0.256279595,0.572005093,1.303416547,-0.735033084,0.25921278,0.568383463,1.491137892,-0.627200357,0.069185275,0.863937535,1.498110343,-0.632632912,0.069724509,0.865477431,1.361122951,-0.751641499,0.18807622,0.609481452,1.234090894,-0.580197986,0.118115371,0.653892908,135.5342481,138.7650002,274.2992483,0.494097481,2.017774691,2.03844963,2.118338248,2.130743255,2.11276445,1.814288879,7.841484139,5.950971581,7.42466734,6.834350666,12.39411113,9.862960189,9.557538003,9.229354009,0.152359209,0.208895415,0.130160881,0.148339576,26.71195601,31.57358601,58.28554202,45.653172,5.208277289,-3.296693171,1.911584118,48,71.2530148,84.04578994,99.98990277,5.342219469,0.134105338,20.08966555,14.94777886,5.24356252,0.127065406,74.92899524,74.13951476,99.99583092,5.418526531,537.1581024,451.1267246,8.392835893,8.502549488,19.99789025,14.53638921,
48,18,0,1.219657783,-0.828039208,0.256305263,0.391618575,1.220720829,-0.83101627,0.25697756,0.389704559,1.459676203,-0.57457182,0.041811341,0.885104382,1.458600007,-0.575420684,0.041644679,0.883179323,1.38738687,-0.670603812,0.149937933,0.716783058,1.170809441,-0.46596294,0.116417745,0.704846501,134.8502391,136.5448393,271.3950785,0.496750929,2.04769699,2.051737098,2.034248023,2.034020691,2.057990681,1.63677238,7.477721127,6.044615061,7.363393184,6.967475674,11.74524001,9.975528436,9.524630392,9.445429886,0.157693382,0.204883342,0.131876893,0.145950968,25.32164272,32.35623984,57.67788257,43.84839408,3.817963996,-2.514039334,1.303924662,51.2,73.63577483,84.73318071,100.0882716,5.33031406,0.129033719,19.98956456,14.9663026,5.234674041,0.126227718,77.46799954,74.70288728,100.0015472,5.348968622,652.0861536,613.5071068,8.327210472,8.494611247,20.00075443,14.70217443,
51.2,19,0,1.075410571,-0.966516398,0.324085168,0.108894174,1.051255467,-0.944850114,0.315541134,0.106405353,1.396294713,-0.547041443,0.03678249,0.84925327,1.364345375,-0.533279021,0.034220297,0.831066354,1.369874664,-0.59847639,0.124832383,0.771398274,1.173476789,-0.370152948,0.087067961,0.803323841,132.9450227,136.2893118,269.2343345,0.493633279,2.041926969,1.99610558,1.943336156,1.897624396,1.968351054,1.543629737,7.363906686,6.162349654,7.177020213,7.090299089,11.53616195,10.1814569,9.319114182,9.640026781,0.159162029,0.201138368,0.135700119,0.143749683,25.02493474,32.43179074,57.45672548,43.58068636,3.521256015,-2.438488436,1.082767578,54.4,73.66884518,86.10820407,100.0206782,5.358356786,0.116154492,19.92147864,15.01862889,5.247048729,0.130502321,78.06637397,75.07267938,100.0090752,5.311190993,749.1979509,753.3892155,8.33759527,8.90589701,20.0041282,14.97453685,
54.4,20,0,0.844406578,-0.987797121,0.353172524,-0.143390543,0.811005781,-0.953972901,0.339471296,-0.14296712,1.138976877,-0.576365677,0.06630982,0.5626112,1.094855712,-0.555638563,0.062478264,0.539217149,1.063311339,-0.591023432,0.146826961,0.472287907,0.973283927,-0.359907827,0.061204559,0.613376101,131.2465939,136.9772165,268.2238104,0.489219414,1.832203698,1.764978683,1.715342554,1.650494275,1.65433477,1.333191754,7.468347707,6.173009593,7.096894437,7.149051683,11.77731797,10.23805601,9.202837941,9.691494014,0.158295596,0.201568599,0.136972459,0.142206568,24.88494003,32.42865341,57.31359344,43.4338667,3.381261308,-2.441625772,0.939635536,57.6,70.8984613,85.68369285,99.97216031,5.393633756,0.105798512,19.90375662,15.11021019,5.252574244,0.130562749,75.3563622,75.83987375,99.99814767,5.26342594,757.8430455,732.6107195,8.182042418,9.251883993,19.99931773,15.0914311,
57.6,21,0,0.680870536,-0.890293118,0.297069158,-0.209422582,0.660631773,-0.865731912,0.286533692,-0.205100139,0.825969045,-0.609750275,0.112753491,0.21621877,0.79835503,-0.595705798,0.109652061,0.202649232,0.698026394,-0.54934422,0.160164288,0.148682174,0.666577063,-0.36347285,0.056136343,0.303104213,130.9287354,136.7765367,267.705272,0.488987857,1.571163653,1.526363685,1.43571932,1.394060829,1.247370614,1.030049913,7.695721787,6.088567338,7.18244722,7.101973651,12.22163146,10.11270848,9.290661818,9.577689626,0.155221507,0.204611889,0.135109796,0.142633667,25.21315837,32.1447297,57.35788807,43.90815742,3.70947964,-2.725549478,0.983930162,60.8,69.09619467,82.54163971,100.0979542,5.407770269,0.096854649,19.90517938,15.18340544,5.257533732,0.115652447,73.00711285,76.92296806,99.96872405,5.190371598,704.921106,619.9024309,7.992577225,9.171500515,19.99206468,15.01994245,
60.8,22,0,0.746388345,-0.805902538,0.218943092,-0.059514193,0.738936097,-0.795657984,0.214080581,-0.056721887,0.769324634,-0.607615598,0.134710552,0.161709036,0.758901736,-0.602413125,0.132803187,0.156488612,0.699845959,-0.437009861,0.113226303,0.262836098,0.610543985,-0.325792186,0.056417112,0.284751799,131.8222645,135.6182231,267.4404877,0.492760071,1.552290883,1.534594081,1.376940233,1.361314861,1.13685582,0.936336171,8.017386133,6.00460962,7.285136937,6.978169853,12.73221355,9.950820472,9.44751611,9.416987744,0.148956331,0.2068817,0.133549064,0.145433445,26.91637721,31.04174236,57.95811957,46.35795643,5.412698488,-3.828536823,1.584161665,64,70.27535888,79.81804929,100.2709714,5.398988849,0.091867201,19.91408779,15.20564477,5.269755365,0.104792281,73.86166283,77.45014236,99.95196992,5.146432157,663.2930439,589.5548293,8.061616377,8.852745618,19.99989213,14.94103723,
64,23,0,0.928831877,-0.796076223,0.186586391,0.132755654,0.920424381,-0.790374257,0.183946411,0.130050125,0.964977155,-0.623866583,0.122668551,0.341110572,0.953973133,-0.619389274,0.121060462,0.334583858,1.013164627,-0.398893262,0.04969352,0.614271365,0.81629714,-0.2953947,0.044265338,0.52090244,132.6526421,134.966323,267.618965,0.495498046,1.7249081,1.710798638,1.588843737,1.573362407,1.412057888,1.11169184,8.262420342,6.015827264,7.300557642,6.922893518,13.07806145,9.933407954,9.524884052,9.40157407,0.143544028,0.205937096,0.134018373,0.147388677,28.57245032,29.85718461,58.42963494,48.89139247,7.068771597,-5.013094565,2.055677032,67.2,71.96892944,80.20478881,100.2234769,5.385675952,0.095089528,19.93261632,15.18709084,5.276574892,0.138523614,75.93667271,76.84571612,99.96872439,5.156289869,592.3484038,616.7439418,8.321401451,8.609432161,20.01503364,14.9799133,
67.2,24,0,0.959045032,-0.789731759,0.193233619,0.169313272,0.945855142,-0.781307316,0.189797242,0.164547826,1.080824066,-0.702239811,0.109054768,0.378584255,1.06362636,-0.694103577,0.107161288,0.369522784,1.160799349,-0.529035024,0.047914358,0.631764325,0.915623798,-0.306781406,0.026647634,0.608842392,132.4317526,135.5064266,267.9381792,0.494086498,1.748776791,1.727162458,1.783063877,1.757729937,1.689834373,1.222405204,8.187720062,6.134308589,7.280902897,7.023081144,12.93726748,10.1045954,9.529263043,9.558006197,0.145088757,0.201814443,0.134790964,0.145425938,27.83922388,29.93922089,57.77844477,48.15311689,6.335545156,-4.931058292,1.404486864,70.4,71.98362237,82.32584975,99.94556284,5.38380473,0.098204036,19.92662721,15.1319163,5.268711281,0.223242492,76.35626024,75.6172164,99.99814953,5.181979967,383.861307,483.9442999,8.358330884,8.384710174,20.00256367,15.06165373,
70.4,25,0,0.787010588,-0.738421995,0.20110625,0.048588593,0.7728481,-0.726317241,0.196193469,0.046530859,0.939419334,-0.753820729,0.112386763,0.185598605,0.922218392,-0.744445883,0.110009541,0.177772509,0.941410354,-0.663497092,0.100479084,0.277913261,0.743461093,-0.291796579,0.015904022,0.451664515,131.409655,136.272267,267.681922,0.49075166,1.525432583,1.499165341,1.693240063,1.666664275,1.604907446,1.035257672,7.842352771,6.239823454,7.267671861,7.122511618,12.38161801,10.27720716,9.488469273,9.640301336,0.152738763,0.198375954,0.134780972,0.142534558,25.58622059,31.24393727,56.83015786,44.87266887,4.082541866,-3.626341909,0.456199957,73.6,71.20009271,83.37200547,99.74250146,5.395600475,0.085838315,19.85563726,15.05630246,5.258494714,0.309913885,75.82615944,74.64949276,100.0090753,5.214415897,161.8846881,230.008097,8.080609222,8.081321922,19.97140089,15.03031058,
73.6,26,0,0.619853058,-0.673274987,0.190131733,-0.053421929,0.601379505,-0.655835422,0.183159234,-0.054455917,0.712888064,-0.659316994,0.111408332,0.053571069,0.693377512,-0.649374688,0.107888594,0.044002824,0.658295268,-0.586496857,0.121135739,0.071798411,0.547203964,-0.174793566,-0.001785153,0.372410398,130.3875837,136.2431819,266.6307656,0.488867352,1.293128045,1.257214927,1.372205058,1.3427522,1.244792126,0.72199753,7.560430483,6.22259336,7.205484306,7.018692641,11.94983752,10.2687645,9.357242265,9.451071002,0.159357144,0.199115929,0.135295943,0.144135492,24.96915658,32.35979346,57.32895003,43.19416148,3.465477851,-2.510485722,0.95499213,76.8,70.1345843,82.68448678,99.83973366,5.417295654,0.056993578,19.74853737,15.02152147,5.260148065,0.349113634,76.71429442,74.33071967,100.0015427,5.268395056,318.8307554,304.7407574,8.047593753,8.053125583,19.99300752,14.90155983,
